Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TenureRatio,IncomeVsLevelMedian,PromotionStagnation,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
41,1,1102,1,2,2,0,94,3,2,4,5993,19479,8,1,11,3,1,0,8,0,1,6,4,0,5,0.75,1.1222846441947565,0.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
49,0,279,8,1,3,1,61,2,2,2,5130,24907,1,0,23,4,4,1,10,3,3,10,7,1,7,1.0,0.9606741573033708,0.1,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
37,1,1373,2,2,4,1,92,2,1,3,2090,2396,6,1,15,3,2,0,7,3,3,0,0,0,0,0.0,0.7827715355805244,0.0,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
33,0,1392,3,4,4,0,56,3,1,3,2909,23159,1,1,11,3,3,0,8,3,3,8,7,3,0,1.0,1.0895131086142322,0.375,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
27,0,591,2,1,1,1,40,3,1,2,3468,16632,9,0,12,3,4,1,6,3,3,2,2,2,2,0.3333333333333333,1.2988764044943821,1.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
32,0,1005,2,2,4,1,79,3,1,4,3068,11864,0,0,13,3,3,0,8,2,2,7,7,3,6,0.875,1.149063670411985,0.42857142857142855,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
59,0,1324,3,3,3,0,81,4,1,1,2670,9964,4,1,20,4,1,3,12,3,2,1,0,0,0,0.08333333333333333,1.0,0.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
30,0,1358,24,1,4,1,67,3,1,3,2693,13335,1,0,22,4,2,1,1,2,3,1,0,0,0,1.0,1.0086142322097378,0.0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
38,0,216,23,3,4,1,44,2,3,3,9526,8787,0,0,21,4,2,0,10,2,3,9,7,1,8,0.9,0.9545090180360721,0.1111111111111111,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
36,0,1299,27,3,3,1,94,3,2,3,5237,16577,6,0,13,3,2,2,17,3,2,7,7,7,7,0.4117647058823529,0.9807116104868914,1.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
35,0,809,16,3,1,1,84,4,1,2,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,0.8333333333333334,0.9086142322097378,0.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
29,0,153,15,2,4,0,49,2,2,3,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,0.9,0.7852059925093633,0.0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
31,0,670,26,1,1,1,31,3,1,3,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,1.0,1.0902621722846442,0.8,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
34,0,1346,19,2,2,1,93,3,1,4,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,0.6666666666666666,0.996629213483146,0.5,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
28,1,103,24,3,3,1,50,2,1,3,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,0.6666666666666666,0.7595505617977528,0.0,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
29,0,1389,21,4,2,0,51,4,3,1,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,1.0,1.0,0.8,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
32,0,334,5,2,1,1,80,4,1,2,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,0.8571428571428571,1.2352059925093632,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
22,0,1123,16,2,4,1,96,4,1,4,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,1.0,1.099250936329588,0.0,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
53,0,1219,2,4,1,0,78,2,4,4,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,0.8064516129032258,0.9549956667079361,0.12,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False
38,0,371,2,3,4,1,45,3,1,4,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,0.5,1.4771535580524344,0.3333333333333333,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
24,0,673,11,2,1,0,96,4,2,3,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,0.8,0.751123595505618,0.25,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
36,1,1218,9,4,3,1,82,2,1,1,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,0.5,1.2760299625468166,0.0,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True
34,0,419,7,4,1,0,53,3,3,2,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,0.9230769230769231,1.201803607214429,0.16666666666666666,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
21,0,391,15,2,3,1,96,3,1,4,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,0.0,0.46142322097378274,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
34,1,699,6,1,2,1,83,3,1,1,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,0.5,1.1086142322097379,0.25,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
53,0,1282,5,3,3,0,58,3,5,3,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,0.5384615384615384,0.9928244592346089,0.2857142857142857,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
32,1,1125,16,1,2,0,72,1,1,1,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,1.0,1.4677902621722847,0.6,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
42,0,691,8,4,3,1,48,3,2,2,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,0.9,1.2780898876404494,0.4444444444444444,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False
44,0,477,7,4,1,0,42,2,3,4,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,0.9166666666666666,1.0268537074148296,0.22727272727272727,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
46,0,705,2,4,2,0,83,3,5,1,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,0.09090909090909091,0.9851809484193012,1.0,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
33,0,924,2,3,3,1,78,3,1,4,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,0.14285714285714285,0.9348314606741573,0.0,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
44,0,1459,10,4,4,1,41,3,2,4,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,0.4444444444444444,1.2106741573033708,0.25,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
30,0,125,9,2,4,1,83,2,1,3,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,1.0,0.8262172284644195,0.1,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
39,1,895,5,3,4,1,56,3,2,4,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,0.05263157894736842,0.3906367041198502,0.0,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False
24,1,813,1,3,2,1,61,3,1,4,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,0.3333333333333333,0.8588014981273409,1.0,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
43,0,1273,2,2,4,0,72,4,1,3,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,0.8333333333333334,0.9906367041198502,0.2,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
50,1,869,3,2,1,1,86,2,1,3,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,1.0,1.0048689138576778,0.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
35,0,890,2,3,4,0,97,3,1,4,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,1.0,0.7543071161048689,1.0,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False
36,0,852,5,4,2,0,82,2,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,0.16666666666666666,1.2805243445692884,0.0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
